alpha,gamma,m_neighbors,refine_iters,mean_err_l2,cov_err_fro,corr_err_fro,mmd,composite_score
0.4,0.5,16,1,0.396866656800388,1.6625304612130771,0.3232452797376362,0.3625021430531287,1.8241531010818952
0.4,0.5,32,2,0.3924377377519516,1.683435909206259,0.30158051966936794,0.37221823920098723,1.834226169040943
0.4,0.5,64,2,0.39071005599624575,1.6787258356225532,0.31437803314993307,0.3784328710900225,1.8359148521975197
0.4,0.5,32,1,0.39440223680127634,1.6923990896565826,0.3151898004323099,0.3696860257188055,1.8499939898727376
0.4,0.5,64,1,0.39175537106272784,1.692932877844376,0.3282729054780609,0.38285479736978945,1.8570693305834065
0.5,0.5,64,3,0.41846195492274224,1.7116547074543245,0.34132943961964723,0.4126163734719771,1.8823194272641481
0.4,2.0,16,3,0.4427568674909698,1.7336850217728352,0.31944713616827425,0.3417731988966711,1.8934085898569724
0.4,1.5,16,3,0.43985619641078294,1.7373079253676753,0.324788258170698,0.36048647847537896,1.8997020544530243
0.4,1.0,16,3,0.43336357319388324,1.7409181746919533,0.32442722343927016,0.32838329758929463,1.9031317864115884
0.4,2.0,16,2,0.4454721605704499,1.7399203240476449,0.32811343052396486,0.34994540363179816,1.9039770393096274
0.5,0.5,64,2,0.4207551732133813,1.7271166551419377,0.3585513333274891,0.40232804977549,1.9063923218056822
0.4,2.0,32,3,0.43599425883714577,1.762097331519718,0.2925253495411666,0.35530223364469204,1.9083600062903012
0.4,2.0,64,3,0.43214795891379326,1.7521424005055828,0.31474607062014465,0.3784707067723081,1.9095154358156552
0.4,1.5,16,2,0.44237083298638963,1.7432469114819573,0.3333077250427357,0.3427229880954313,1.9099007740033251
0.4,1.0,16,2,0.435534490609667,1.7463248221861203,0.33287347066548756,0.3440810281795507,1.9127615575188641
0.4,2.0,16,1,0.4486768542585147,1.746893308341126,0.33350995459950855,0.3461634261788241,1.9136482856408803
0.4,1.5,64,3,0.43054089035865567,1.7561973309139807,0.31928941409016653,0.3596338504470469,1.915842037959064
0.4,1.5,32,3,0.4340228068753948,1.7661110095320167,0.29966081916584547,0.3874513228131781,1.9159414191149395
0.4,1.0,64,3,0.42624693073101483,1.7596465113228115,0.3177434887655352,0.3477877250456519,1.918518255705579
