alpha,gamma,m_neighbors,refine_iters,mean_err_l2,cov_err_fro,corr_err_fro,downstream_auc,composite_score
0.5,1.0,16,1,0.37660072476278506,2.5828918510030148,0.8793149330082058,0.8498730747359088,3.0225493175071176
0.5,0.5,32,2,0.3477786492406648,2.6018495636806462,0.853204429097519,0.852746212121212,3.028451778229406
0.5,2.0,64,1,0.34512244167404554,2.5831839102220573,0.89404993348875,0.853036567969774,3.0302088769664324
0.5,0.5,16,2,0.35691780706481363,2.589705480013551,0.8822392026526654,0.8505760732323232,3.030825081339884
0.4,1.5,64,1,0.3350974718777038,2.597080845216288,0.8724407625381504,0.8549543020857429,3.033301226485363
0.4,0.5,64,2,0.31868450034083773,2.608857369405168,0.8550086704533921,0.8548588219986121,3.0363617046318643
0.5,1.0,32,1,0.3607888442197257,2.6092744368439624,0.8729173035608828,0.8532109621983192,3.045733088624404
0.4,0.5,16,1,0.3214613680742944,2.6114465550820882,0.8773721731453201,0.853007652864523,3.0501326416547485
0.4,0.5,32,1,0.3200429062419213,2.6215012208646526,0.8573991091542312,0.8522127886691342,3.0502007754417684
0.5,1.5,64,1,0.3441772827379246,2.599163956112584,0.9033790764485788,0.853006749267484,3.0508534943368737
0.5,0.5,64,2,0.3300593108683987,2.6122364090967487,0.8971232440343659,0.8524826629848099,3.0607980311139316
0.4,1.0,64,1,0.3319372124505889,2.62176563414538,0.886404109336609,0.854935627746935,3.0649676888136845
0.5,0.5,16,1,0.36020107285504394,2.6229723804169054,0.894014478681713,0.8505176406237952,3.069979619757762
0.5,1.0,64,1,0.3417575004951676,2.62498555836328,0.9184245277319839,0.8529651838036857,3.0841978222292723
0.5,0.5,32,1,0.3479095201164833,2.6497401621066503,0.8978414546439784,0.8533633688989127,3.0986608894286394
0.4,0.5,64,1,0.3195285003602361,2.6538051030415164,0.9019052347695876,0.8549672536433033,3.1047577204263104
0.5,0.5,64,1,0.3306993781838834,2.662985998460298,0.9365568024241914,0.8531389756342047,3.1312643996723937
